행정구역별	성별	0세	1세	2세	3세	4세	5세	6세	7세	8세	9세	10세	11세	12세	13세	14세	15세	16세	17세	18세	19세	20세	21세	22세	23세	24세	25세	26세	27세	28세	29세	30세	31세	32세	33세	34세	35세	36세	37세	38세	39세	40세	41세	42세	43세	44세	45세	46세	47세	48세	49세	50세	51세	52세	53세	54세	55세	56세	57세	58세	59세	60세	61세	62세	63세	64세	65세	66세	67세	68세	69세	70세	71세	72세	73세	74세	75세	76세	77세	78세	79세	80세	81세	82세	83세	84세	85세	86세	87세	88세	89세	90세	91세	92세	93세	94세	95세	96세	97세	98세	99세	100세 이상
종로구	계	609 	590 	702 	765 	874 	877 	862 	1000 	917 	1015 	927 	1012 	1167 	1056 	991 	1134 	1150 	1182 	1337 	1792 	1889 	1940 	2183 	2394 	2518 	2535 	2583 	2602 	2578 	2350 	2115 	2153 	2037 	1910 	1957 	1775 	2061 	2086 	2185 	2097 	2165 	1798 	1928 	1996 	2094 	2295 	2516 	2578 	2898 	2809 	2725 	2631 	2534 	2334 	2544 	2573 	2416 	2608 	2658 	2691 	2436 	2254 	2272 	2083 	2229 	1857 	1634 	1795 	1202 	1366 	1465 	1389 	1516 	1197 	1135 	1150 	1178 	1370 	1160 	978 	1010 	844 	702 	684 	596 	506 	416 	351 	321 	243 	207 	178 	140 	120 	80 	66 	59 	66 	48 	36 	253 
종로구	남자	311 	312 	334 	385 	438 	442 	431 	514 	460 	516 	486 	508 	585 	535 	503 	593 	590 	594 	679 	859 	840 	858 	1035 	1165 	1287 	1253 	1340 	1347 	1364 	1195 	1084 	1097 	976 	941 	982 	879 	1062 	1001 	1077 	987 	1059 	885 	890 	979 	989 	1112 	1178 	1274 	1488 	1368 	1353 	1314 	1222 	1161 	1311 	1325 	1226 	1392 	1316 	1312 	1250 	1162 	1158 	1021 	1107 	924 	810 	872 	549 	633 	658 	632 	680 	540 	483 	484 	532 	632 	485 	426 	434 	353 	284 	289 	244 	188 	151 	148 	106 	77 	72 	57 	46 	39 	28 	24 	25 	28 	18 	16 	82 
종로구	여자	298 	278 	368 	380 	436 	435 	431 	486 	457 	499 	441 	504 	582 	521 	488 	541 	560 	588 	658 	933 	1049 	1082 	1148 	1229 	1231 	1282 	1243 	1255 	1214 	1155 	1031 	1056 	1061 	969 	975 	896 	999 	1085 	1108 	1110 	1106 	913 	1038 	1017 	1105 	1183 	1338 	1304 	1410 	1441 	1372 	1317 	1312 	1173 	1233 	1248 	1190 	1216 	1342 	1379 	1186 	1092 	1114 	1062 	1122 	933 	824 	923 	653 	733 	807 	757 	836 	657 	652 	666 	646 	738 	675 	552 	576 	491 	418 	395 	352 	318 	265 	203 	215 	166 	135 	121 	94 	81 	52 	42 	34 	38 	30 	20 	171 
중구	계	698 	659 	724 	813 	799 	766 	765 	771 	714 	680 	636 	661 	697 	582 	578 	691 	694 	731 	835 	1203 	1251 	1342 	1542 	1714 	1833 	2027 	2146 	2385 	2182 	2051 	1998 	2150 	2028 	1986 	2040 	1950 	2117 	2173 	2103 	2117 	1972 	1683 	1718 	1643 	1662 	1839 	1818 	1935 	2157 	2064 	2138 	2191 	2077 	1822 	2001 	2060 	2013 	2140 	2246 	2268 	2104 	1994 	2020 	1896 	1904 	1707 	1420 	1562 	1076 	1265 	1249 	1202 	1274 	991 	955 	958 	928 	1117 	971 	735 	756 	679 	566 	568 	468 	401 	368 	279 	244 	213 	211 	155 	128 	82 	55 	54 	54 	38 	30 	28 	187 
중구	남자	379 	320 	361 	411 	407 	386 	393 	400 	357 	344 	325 	319 	346 	304 	284 	357 	347 	385 	442 	613 	584 	603 	710 	802 	906 	1004 	1046 	1189 	1054 	1039 	1004 	1053 	1016 	988 	1020 	966 	1053 	1059 	1087 	1098 	999 	900 	887 	834 	846 	950 	904 	967 	1107 	1014 	1138 	1071 	1038 	991 	971 	1025 	1042 	1112 	1158 	1117 	1124 	959 	1035 	942 	937 	872 	700 	740 	527 	617 	586 	571 	586 	404 	435 	435 	406 	495 	414 	304 	324 	276 	197 	238 	163 	129 	113 	83 	80 	73 	67 	47 	44 	21 	14 	17 	15 	9 	11 	7 	61 
중구	여자	319 	339 	363 	402 	392 	380 	372 	371 	357 	336 	311 	342 	351 	278 	294 	334 	347 	346 	393 	590 	667 	739 	832 	912 	927 	1023 	1100 	1196 	1128 	1012 	994 	1097 	1012 	998 	1020 	984 	1064 	1114 	1016 	1019 	973 	783 	831 	809 	816 	889 	914 	968 	1050 	1050 	1000 	1120 	1039 	831 	1030 	1035 	971 	1028 	1088 	1151 	980 	1035 	985 	954 	967 	835 	720 	822 	549 	648 	663 	631 	688 	587 	520 	523 	522 	622 	557 	431 	432 	403 	369 	330 	305 	272 	255 	196 	164 	140 	144 	108 	84 	61 	41 	37 	39 	29 	19 	21 	126 
용산구	계	1255 	1241 	1313 	1477 	1522 	1448 	1415 	1537 	1448 	1476 	1432 	1442 	1557 	1451 	1425 	1589 	1609 	1669 	1908 	2309 	2402 	2477 	2769 	2801 	3233 	3497 	3588 	4007 	4181 	3882 	3836 	3795 	3638 	3659 	3660 	3589 	3831 	4071 	3993 	3961 	3579 	3130 	3294 	3228 	3310 	3649 	3713 	3989 	4179 	4088 	4087 	3897 	3622 	3293 	3541 	3469 	3468 	3645 	3678 	3759 	3568 	3245 	3328 	3057 	3115 	2665 	2315 	2436 	1745 	2011 	2001 	2008 	2035 	1635 	1522 	1564 	1599 	1876 	1570 	1312 	1304 	1230 	1094 	1018 	860 	734 	597 	518 	454 	367 	347 	276 	218 	149 	133 	110 	113 	80 	62 	35 	353 
용산구	남자	658 	656 	680 	761 	786 	755 	720 	790 	757 	747 	715 	703 	780 	756 	733 	846 	813 	863 	995 	1159 	1151 	1193 	1318 	1304 	1471 	1637 	1730 	1988 	2043 	1995 	1923 	1907 	1768 	1832 	1796 	1807 	1938 	1983 	2067 	1956 	1743 	1558 	1598 	1566 	1634 	1825 	1869 	1978 	2028 	1999 	1984 	1929 	1704 	1705 	1790 	1744 	1714 	1821 	1835 	1794 	1725 	1600 	1610 	1491 	1436 	1300 	1096 	1082 	794 	908 	904 	937 	864 	669 	661 	631 	710 	812 	664 	536 	521 	473 	415 	372 	330 	258 	214 	183 	163 	126 	107 	79 	51 	41 	42 	41 	44 	30 	23 	17 	98 
용산구	여자	597 	585 	633 	716 	736 	693 	695 	747 	691 	729 	717 	739 	777 	695 	692 	743 	796 	806 	913 	1150 	1251 	1284 	1451 	1497 	1762 	1860 	1858 	2019 	2138 	1887 	1913 	1888 	1870 	1827 	1864 	1782 	1893 	2088 	1926 	2005 	1836 	1572 	1696 	1662 	1676 	1824 	1844 	2011 	2151 	2089 	2103 	1968 	1918 	1588 	1751 	1725 	1754 	1824 	1843 	1965 	1843 	1645 	1718 	1566 	1679 	1365 	1219 	1354 	951 	1103 	1097 	1071 	1171 	966 	861 	933 	889 	1064 	906 	776 	783 	757 	679 	646 	530 	476 	383 	335 	291 	241 	240 	197 	167 	108 	91 	69 	69 	50 	39 	18 	255 
성동구	계	2060 	2134 	2208 	2382 	2397 	2317 	2209 	2198 	2091 	1987 	1812 	2021 	2071 	1819 	1853 	2010 	2031 	2164 	2450 	3204 	3416 	3636 	4034 	4500 	4761 	5073 	5108 	5307 	5254 	4896 	4763 	4942 	4772 	4871 	5071 	4943 	5342 	5510 	5493 	5257 	4974 	4211 	4423 	4371 	4365 	4547 	4934 	4913 	5264 	5167 	5159 	5080 	4738 	4354 	4856 	4748 	4524 	4881 	4951 	5155 	4635 	4411 	4266 	3881 	3918 	3378 	2894 	3105 	2197 	2448 	2533 	2338 	2544 	2069 	1796 	1900 	1843 	2210 	1715 	1476 	1385 	1230 	1141 	1005 	799 	730 	562 	472 	377 	313 	272 	224 	171 	114 	87 	60 	59 	52 	35 	28 	234 
