자치구별	계	취득세	레저세	주민세	자동차세	재산세	지방소득세	등록면허세	재산세	종합토지세	지역자원시설세	지방교육세	과년도수입
종로구	940267 	189746 	4029 	41789 	9774 	86778 	440888 	18147 	90462 	1 	11761 	43006 	3886 
중구	1457958 	227575 	2303 	68262 	10458 	118947 	814227 	27860 	107420 	0 	20698 	55788 	4420 
용산구	739344 	219696 	16 	17002 	16124 	104796 	204126 	14687 	99048 	0 	9487 	48226 	6136 
성동구	563388 	211787 	0 	12436 	19597 	73546 	100844 	13177 	79148 	0 	8130 	39054 	5669 
광진구	456001 	162949 	5511 	5959 	18686 	61752 	71207 	10623 	73350 	0 	6359 	33760 	5845 
동대문구	432907 	146162 	22052 	7985 	17678 	58056 	51321 	9093 	71382 	0 	6848 	37603 	4727 
중랑구	304529 	92966 	15791 	4284 	18433 	41013 	27162 	6264 	62828 	0 	4323 	26169 	5296 
성북구	443922 	123487 	5869 	5252 	22089 	60608 	104560 	7885 	71466 	0 	5865 	29719 	7122 
강북구	231984 	65661 	8525 	2627 	12750 	32402 	19313 	4560 	59942 	0 	3520 	18451 	4233 
도봉구	237092 	60984 	8100 	2918 	16767 	33716 	23782 	4373 	59837 	0 	3457 	18545 	4613 
노원구	349383 	102563 	0 	5422 	27786 	57326 	40412 	7095 	69523 	0 	5684 	26243 	7329 
은평구	378266 	136438 	0 	4359 	22593 	57375 	38682 	7940 	69593 	0 	6293 	28097 	6896 
서대문구	360420 	107924 	0 	8247 	16036 	51067 	68504 	6731 	68250 	0 	6092 	23045 	4524 
마포구	732579 	230563 	0 	23778 	22901 	101762 	173617 	17329 	92955 	0 	15286 	47797 	6591 
양천구	489789 	149354 	0 	6636 	28613 	79312 	86997 	8226 	80626 	0 	8047 	35140 	6838 
강서구	779750 	300737 	0 	24721 	34221 	97767 	130557 	16260 	97803 	0 	15526 	53081 	9077 
구로구	475281 	135814 	0 	16005 	24907 	63386 	100833 	11589 	72762 	135 	11257 	30561 	8032 
금천구	444032 	148360 	0 	18088 	14733 	41746 	104679 	11123 	64310 	0 	11562 	25405 	4026 
영등포구	1248782 	244646 	25886 	58901 	28349 	108959 	561347 	31318 	97291 	0 	20197 	64924 	6964 
동작구	430456 	152096 	0 	7072 	20952 	64669 	63722 	5724 	73536 	0 	6164 	30768 	5753 
관악구	388339 	126481 	7134 	5409 	21250 	58181 	47501 	7377 	70618 	0 	7202 	29998 	7188 
서초구	1875602 	507627 	0 	51772 	41769 	268346 	634832 	37748 	182990 	0 	22602 	116312 	11604 
강남구	3225725 	734833 	15920 	98198 	54532 	451741 	1252446 	78457 	283783 	0 	39305 	196816 	19694 
송파구	1336277 	436540 	0 	32519 	48251 	234476 	261915 	24284 	158499 	0 	25209 	101166 	13418 
강동구	547800 	180189 	14013 	10258 	24713 	90255 	71698 	10321 	85706 	0 	8259 	45226 	7162 
