0	국가	확진자	사망자	완치	사망률	완치율	발생률
1	미국	311635	8454	14825	2.7	4.8	941
2	스페인	126168	11947	34219	9.5	27.1	2699
3	이탈리아	124632	15362	20996	12.3	16.8	2061
4	독일	96092	1444	26400	1.5	27.5	1147
5	프랑스	89953	7560	15438	8.4	17.2	1378
6	중국	81670	3329	76977	4.1	94.3	57
7	이란	55743	3452	19736	6.2	35.4	664
8	영국	41903	4313	135	10.3	0.3	617
9	터키	23934	501	786	2.1	3.3	284
10	스위스	20505	666	6415	3.2	31.3	2369
11	벨기에	18431	1283	3247	7	17.6	1590
12	네덜란드	16627	1651	250	9.9	1.5	970
13	캐나다	14018	233	2603	1.7	18.6	371
14	오스트리아	11781	186	2507	1.6	21.3	1308
15	포르투갈	10524	266	75	2.5	0.7	1032
16	브라질	10360	445	127	4.3	1.2	49
17	대한민국	10237	183	6463	1.8	63.1	200
18	이스라엘	7851	44	427	0.6	5.4	907
19	스웨덴	6443	373	205	5.8	3.2	638
20	호주	5635	34	585	0.6	10.4	221
21	노르웨이	5550	62	32	1.1	0.6	1024
22	러시아	4731	43	333	0.9	7	32
23	아일랜드	4604	137	25	3	0.5	932
24	체코	4472	59	78	1.3	1.7	418
25	칠레	4161	27	528	0.6	12.7	218
26	덴마크	4077	161	1283	3.9	31.5	704
27	폴란드	3627	79	116	2.2	3.2	96
28	루마니아	3613	146	329	4	9.1	188
29	인도	3588	99	229	2.8	6.4	3
30	일본	3497	84	514	2.4	14.7	28
31	말레이시아	3483	57	915	1.6	26.3	108
32	에콰도르	3465	172	100	5	2.9	196
33	필리핀	3094	144	57	4.7	1.8	28
34	파키스탄	2818	41	131	1.5	4.6	13
35	룩셈부르크	2729	31	500	1.1	18.3	4360
36	사우디아라비아	2370	29	420	1.2	17.7	68
37	태국	2169	23	674	1.1	31.1	31
38	인도네시아	2092	191	150	9.1	7.2	8
39	멕시코	1890	79	633	4.2	33.5	15
40	핀란드	1882	25	300	1.3	15.9	340
41	파나마	1801	46	13	2.6	0.7	417
42	페루	1746	73	914	4.2	52.3	53
43	그리스	1673	68	78	4.1	4.7	161
44	세르비아	1624	44	54	2.7	3.3	186
45	남아프리카 공화국	1585	9	95	0.6	6	27
46	도미니카 공화국	1578	77	17	4.9	1.1	145
47	아랍에미레이트	1505	10	125	0.7	8.3	152
48	아르헨티나	1451	43	279	3	19.2	32
49	아이슬란드	1417	4	396	0.3	27.9	4152
50	콜롬비아	1406	32	85	2.3	6	28
51	카타르	1325	3	109	0.2	8.2	460
52	알제리	1251	130	90	10.4	7.2	29
53	우크라이나	1225	32	25	2.6	2	28
54	싱가포르	1189	6	297	0.5	25	203
55	크로아티아	1126	12	119	1.1	10.6	274
56	이집트	1070	71	241	6.6	22.5	10
57	에스토니아	1039	13	59	1.3	5.7	783
58	뉴질랜드	1039	1	156	0.1	15	215
59	슬로베니아	977	22	79	2.3	8.1	470
60	모로코	919	59	66	6.4	7.2	25						
61	이라크	878	56	259	6.4	29.5	22
62	홍콩	862	4	186	0.5	21.6	115
63	리투아니아	771	11	7	1.4	0.9	283
64	아르메니아	770	7	43	0.9	5.6	260
65	몰도바	752	12	29	1.6	3.9	186						
66	일본크루즈	712	11	619	1.5	86.9	-
67	바레인	688	4	423	0.6	61.5	404						
68	헝가리	678	32	58	4.7	8.6	70
69	보스니아 헤르체고비나	624	21	30	3.4	4.8	190						
70	카메룬	555	9	17	1.6	3.1	21
71	튀니지	553	18	5	3.3	0.9	47
72	카자흐스탄	551	5	36	0.9	6.5	29
73	아제르바이잔	521	5	32	1	6.1	51
74	레바논	520	17	54	3.3	10.4	76						
75	라트비아	509	1	1	0.2	0.2	270
