키	몸무게
125.8	27.3
124.3	25.4
119.2	23.5
115	20
120	33.5
112.5	21
126.7	25.8
118.8	25
118.7	23.4
117.4	22
118.4	22
123.3	22
114.5	22.8
119.7	23.3
123.6	27.3
117.2	20.6
126.7	30.4
118.8	19.8
119.9	21.3
121.5	22
122	22.6
120.3	21.3
130	29
118.3	27.1
121.2	20.7
120	20.6
120.9	24.2
120.7	26.3
118	22.7
127.3	24.1
120	29
120.8	23.5
116.2	18.9
125	24.5
118.2	21
121.7	20.7
128.8	30.4
123.6	24
128.6	29.6
126.6	26.8
131.9	38.3
135.9	38.1
128.6	31.6
124.7	25.2
126.9	26.2
130.1	34.6
124.4	22.5
131.3	24.6
120.9	22.2
130	24.2
128.2	37
130	33.3
129.7	29.6
122.2	22.9
133.8	25.3
131.3	28.9
121	24.8
132.7	26.1
133.1	29
126.3	24.7
124.9	25.8
130.2	32.3
133.1	30.9
129.4	23.9
127.7	26
127.8	32.1
128.7	27.8
130.3	27.8
125.9	20.9
124	23.9
124.7	25.5
130.4	35.7
125.9	36.2
129.1	27.7
134.4	29.6
140.4	30.5
140.2	36.3
128.1	22.8
132.2	30.4
134	29.1
143.3	37.5
133.2	41.3
136.8	28.2
122.5	21.3
140.7	32.2
142.3	41.8
129.1	28.8
130.4	32.2
130.4	32.2
129.2	26.6
131.8	32.3
124.8	21.3
129.5	26.3
129.3	25
140.1	34.7
144.8	31.9
128.9	27.2
132.7	26.1
131.3	30.8
